order_id,order_date,order_month,order_total,is_discounted,category,customer_id,acquisition_channel,country,signup_date,cohort_month,months_since_signup,is_first_order
1,2024-02-10,2024-02,137.16,1,Electronics,1,Discount,UK,2024-02-10,2024-02,0,1
2,2024-12-14,2024-12,544.87,0,Electronics,2,Paid Social,US,2024-12-14,2024-12,0,1
3,2025-01-31,2025-01,115.94,1,Beauty,2,Paid Social,US,2024-12-14,2024-12,1,0
4,2025-02-03,2025-02,174.66,0,Apparel,2,Paid Social,US,2024-12-14,2024-12,2,0
5,2024-10-21,2024-10,118.89,0,Beauty,3,Organic,UK,2024-10-21,2024-10,0,1
6,2024-12-12,2024-12,188.87,0,Home,3,Organic,UK,2024-10-21,2024-10,2,0
7,2024-12-20,2024-12,51.48,0,Outdoor,3,Organic,UK,2024-10-21,2024-10,2,0
8,2025-04-12,2025-04,105.73,0,Apparel,3,Organic,UK,2024-10-21,2024-10,6,0
9,2024-07-16,2024-07,171.68,0,Home,4,Referral,US,2024-07-16,2024-07,0,1
10,2024-09-19,2024-09,146.36,0,Home,4,Referral,US,2024-07-16,2024-07,2,0
11,2024-07-13,2024-07,103.2,0,Beauty,5,Organic,UK,2024-07-13,2024-07,0,1
12,2024-07-19,2024-07,121.32,0,Electronics,5,Organic,UK,2024-07-13,2024-07,0,0
13,2025-01-21,2025-01,6.4,0,Apparel,6,Referral,US,2025-01-21,2025-01,0,1
14,2025-04-13,2025-04,268.37,0,Apparel,6,Referral,US,2025-01-21,2025-01,3,0
15,2024-02-08,2024-02,19.44,0,Home,7,Paid Social,US,2024-02-08,2024-02,0,1
16,2024-11-09,2024-11,198.66,0,Apparel,8,Organic,AU,2024-11-09,2024-11,0,1
17,2025-05-28,2025-05,45.11,0,Beauty,8,Organic,AU,2024-11-09,2024-11,6,0
18,2025-06-03,2025-06,8.0,0,Home,8,Organic,AU,2024-11-09,2024-11,7,0
19,2024-03-31,2024-03,191.38,0,Home,9,Organic,US,2024-03-31,2024-03,0,1
20,2024-05-15,2024-05,239.1,0,Apparel,9,Organic,US,2024-03-31,2024-03,2,0
21,2024-02-12,2024-02,176.31,0,Home,10,Referral,US,2024-02-12,2024-02,0,1
22,2024-08-24,2024-08,76.59,0,Beauty,11,Organic,US,2024-08-24,2024-08,0,1
23,2024-11-08,2024-11,629.02,0,Apparel,11,Organic,US,2024-08-24,2024-08,3,0
24,2025-03-15,2025-03,98.32,1,Outdoor,12,Discount,US,2025-03-15,2025-03,0,1
25,2025-03-31,2025-03,61.08,0,Outdoor,12,Discount,US,2025-03-15,2025-03,0,0
26,2024-11-27,2024-11,72.72,0,Beauty,13,Referral,CA,2024-11-27,2024-11,0,1
27,2024-12-08,2024-12,346.23,0,Home,14,Paid Social,CA,2024-12-08,2024-12,0,1
28,2024-11-18,2024-11,174.08,0,Outdoor,15,Organic,US,2024-11-18,2024-11,0,1
29,2024-12-28,2024-12,116.93,0,Home,15,Organic,US,2024-11-18,2024-11,1,0
30,2024-12-19,2024-12,235.68,1,Electronics,16,Paid Social,US,2024-12-19,2024-12,0,1
31,2024-08-18,2024-08,54.01,1,Outdoor,17,Discount,US,2024-08-18,2024-08,0,1
32,2024-09-10,2024-09,144.92,0,Apparel,17,Discount,US,2024-08-18,2024-08,1,0
33,2024-02-27,2024-02,99.35,0,Apparel,18,Organic,US,2024-02-27,2024-02,0,1
34,2024-03-27,2024-03,510.24,0,Home,18,Organic,US,2024-02-27,2024-02,1,0
35,2024-11-04,2024-11,168.88,0,Apparel,18,Organic,US,2024-02-27,2024-02,9,0
36,2024-12-25,2024-12,231.5,0,Electronics,18,Organic,US,2024-02-27,2024-02,10,0
37,2025-01-12,2025-01,30.3,0,Home,19,Paid Search,CA,2025-01-12,2025-01,0,1
38,2025-02-27,2025-02,47.4,0,Beauty,19,Paid Search,CA,2025-01-12,2025-01,1,0
39,2024-07-21,2024-07,65.86,0,Electronics,20,Organic,AU,2024-07-21,2024-07,0,1
40,2024-09-27,2024-09,162.04,0,Electronics,20,Organic,AU,2024-07-21,2024-07,2,0
41,2024-08-13,2024-08,30.47,0,Beauty,21,Paid Search,US,2024-08-13,2024-08,0,1
42,2025-04-30,2025-04,57.88,0,Apparel,21,Paid Search,US,2024-08-13,2024-08,8,0
43,2024-06-15,2024-06,137.0,0,Outdoor,22,Referral,US,2024-06-15,2024-06,0,1
44,2024-10-18,2024-10,87.29,0,Apparel,22,Referral,US,2024-06-15,2024-06,4,0
45,2024-03-23,2024-03,100.56,0,Apparel,23,Paid Search,CA,2024-03-23,2024-03,0,1
46,2024-05-02,2024-05,126.24,0,Home,23,Paid Search,CA,2024-03-23,2024-03,2,0
47,2025-02-21,2025-02,171.22,0,Apparel,24,Paid Social,US,2025-02-21,2025-02,0,1
48,2024-12-17,2024-12,295.2,0,Outdoor,25,Paid Search,US,2024-12-17,2024-12,0,1
49,2024-12-21,2024-12,88.34,0,Beauty,25,Paid Search,US,2024-12-17,2024-12,0,0
50,2025-02-03,2025-02,282.44,0,Apparel,25,Paid Search,US,2024-12-17,2024-12,2,0
51,2024-10-16,2024-10,296.09,0,Outdoor,26,Organic,US,2024-10-16,2024-10,0,1
52,2025-03-15,2025-03,65.86,0,Home,26,Organic,US,2024-10-16,2024-10,5,0
53,2024-06-30,2024-06,59.28,0,Outdoor,27,Organic,CA,2024-06-30,2024-06,0,1
54,2024-07-18,2024-07,154.29,0,Apparel,27,Organic,CA,2024-06-30,2024-06,1,0
55,2025-01-05,2025-01,15.07,1,Beauty,28,Discount,CA,2025-01-05,2025-01,0,1
56,2024-09-02,2024-09,99.16,0,Apparel,29,Paid Social,US,2024-09-02,2024-09,0,1
57,2024-07-18,2024-07,119.05,0,Home,30,Paid Search,US,2024-07-18,2024-07,0,1
58,2024-07-21,2024-07,66.53,0,Electronics,31,Referral,US,2024-07-21,2024-07,0,1
59,2025-06-07,2025-06,237.94,0,Outdoor,31,Referral,US,2024-07-21,2024-07,11,0
